t,xx,yy,zz
1,-1.343579239,-0.060475647,-0.387718024
2,-3.210097835,2.016375362,0.19446097
3,-2.801889563,2.040750488,2.838610501
4,-5.981053579,2.389441548,2.222747003
5,-2.013803179,1.485756232,2.341728097
6,2.480454231,2.76411116,3.326725647
7,3.074971303,2.835649262,4.269252115
8,3.513220677,1.929113349,6.371080473
9,1.338627199,2.348229822,4.334742996
10,-6.745531502,2.845116777,4.401301821
11,-10.47481742,1.423758038,4.415317918
12,-5.628166289,0.470626178,3.241014101
13,-5.024229975,0.204399057,1.03160972
14,-2.526330799,1.480866384,1.325132047
15,-0.789600494,0.398469532,2.655160954
16,-0.790941168,1.205392894,2.16982254
17,-2.711719312,2.238900687,3.444778135
18,-0.392581364,2.888811562,4.77866811
19,5.183880381,3.076085747,5.374455558
20,5.799761515,2.347297359,5.382872318
21,4.477787107,1.448401173,5.073193998
22,3.52147932,0.248484469,6.472189001
23,3.973712194,1.881901127,4.59300473
24,0.860509546,1.414445953,4.049328061
25,0.905246855,2.270077286,4.101145941
26,1.674357731,2.342372614,4.46471908
27,13.17176544,2.096790373,6.035663804
28,11.32872268,1.741982275,7.255815691
29,9.169846534,0.170634788,6.768703823
30,14.74919019,0.743298596,5.743431853
31,7.478882286,1.3999485,4.601100591
32,4.634308385,1.146756566,3.30923352
33,1.688981775,0.23093837,3.188775601
34,-1.993526333,1.109866638,2.851515409
35,-0.388730397,2.199174114,5.068482034
36,-2.999113641,1.548390714,2.804256622
37,-0.290134492,2.589612024,2.642787802
38,-0.699988106,1.6247198,4.180966402
39,1.11181342,1.352530853,2.90721064
40,1.612516924,1.628075077,2.923931068
41,4.646097445,1.64541674,3.522445727
42,7.297417284,1.281131686,4.144162992
43,6.045050682,1.176305618,4.20625009
44,4.884280779,2.420252946,4.697341269
45,1.840338067,1.868245477,5.966112634
46,0.000219861,2.80127569,6.52820136
47,0.170929101,2.699624718,6.095834233
48,-0.036759637,3.750389751,6.062064329
49,-0.826882923,5.312605819,8.843063593
50,-0.935056324,3.983123714,8.680900542
51,0.375336405,2.577780036,8.968211762
52,0.712936684,2.057754147,8.057917354
53,7.678805004,0.988809336,7.146771675
54,7.657011385,0.407262065,4.385235468
55,7.908596915,0.404856925,4.474418342
56,5.423353916,0.208052885,4.189320048
57,0.302070931,-0.972245689,2.917114931
58,5.518886775,0.338835222,2.29067326
59,5.764384003,0.842860849,1.422464499
60,6.123154238,0.240298249,0.32753412
61,4.854761208,0.785855371,-0.486362778
62,3.368031493,0.559541316,-0.387626151
63,2.208997035,2.735540926,-0.09909223
64,-3.645353196,2.650265221,1.433482562
65,-5.29160911,1.39332902,2.115338091
66,-5.055639583,2.919881173,3.253007656
67,-4.077154774,2.585149743,3.671680297
68,6.433502625,0.256357598,4.693171861
69,5.099140708,-0.781189752,4.150389204
70,-0.313089066,1.862270743,2.125061269
71,-1.506527021,2.505373855,2.591599224
72,-1.551674965,0.68161754,1.409422207
73,-3.975668811,-0.624403896,0.481433139
74,-5.447855237,-1.398838312,0.290648665
75,-5.320085831,1.620922122,-1.064616366
76,-2.108380284,2.422384333,0.928709163
77,-0.60161799,2.527871612,1.091890294
78,3.387640962,2.150057522,1.834132157
79,5.968843329,2.568029798,2.355947417
80,0.896887915,3.274594246,3.104537485
81,12.38829729,3.844927438,3.435889474
82,9.210435007,1.931293961,7.384883772
83,5.688078556,1.435048185,7.032987713
84,4.524271356,2.141103403,6.073387861
